Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"1039","AUREL","RATTRAY","Peasant","Common","Human","2","Male","RATTRAY [236]","","","","","","","","","","","","","2","",""
"1040","GWENITH","POULIN","Peasant","Uncommon","Dwarf","38","Female","POULIN [282]","ANTONIE POULIN","Distinctive posture (crooked or rigid)","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Plays a musical instrument","Prone to singing, whistling, or humming quietly","Friendly","Respect or Retribution","Fairness or Creativity","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Enjoys decadent pleasures","105","",""
"1041","DIDIER","LAURITSEN","Peasant","Common","Human","17","Male","LAURITSEN [609]","","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Sings beautifully","Prone to singing, whistling, or humming quietly","Suspicious","Self-sacrifice or Slaughter","Logic or Independence","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Arrogance","17","",""
"1042","LUCAS","WECHSLER","Peasant","Common","Human","14","Male","WECHSLER [610]","","Missing teeth","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Expert juggler","Fidgets","Curious","Life or Pain","Tradition or Whimsy","Balance or Aspiration","Drawn to a special place and Dedicated to fulfilling a personal life goal","Prone to rage","14","",""
"1043","NYE","ROSENBERG","Peasant","Common","Human","9","Male","ROSENBERG [611]","","","","","","","","","","","","","9","",""
"1044","HERBERT","STAROSTA","Peasant","Common","Human","11","Male","STAROSTA [612]","","","","","","","","","","","","","11","",""
"1045","KATARIINA","ROSE","Peasant","Common","Human","20","Female","ROSE [279]","MALDWYN ROSE","Birthmark","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Knows thieves’ cant","Prone to singing, whistling, or humming quietly","Rude","Charity or Greed","Fairness or Creativity","Balance or Aspiration","Protective of colleagues or compatriots","Forbidden love or susceptibility to romance","20","",""
"1046","EDUARD","HANSEN","Peasant","Common","Human","8","Male","HANSEN [613]","","","","","","","","","","","","","8","",""
"1047","RHONWEN","MCCONNELL","Peasant","Common","Human","56","Female","MCCONNELL [273]","MEREDITH MCCONNELL","Distinctive posture (crooked or rigid)","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Speaks several languages fluently","Uses colorful oaths and exclamations","Blustering","Self-sacrifice or Slaughter","Community or Change","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Has a powerful enemy","56","",""
"1048","COINNEACH","UNTERBRINK","Peasant","Common","Human","17","Male","UNTERBRINK [614]","","Distinctive jewelry: earrings, necklace, circlet, bracelets","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Great at one game","Fidgets","Hot tempered","Greater good or Might","Logic or Independence","Live and let live or Glory","Protective of a sentimental keepsake","Overpowering greed","17","",""
"1049","MIEN","MCCALLUM","Peasant","Common","Human","2","Female","MCCALLUM [239]","","","","","","","","","","","","","2","",""
"1050","BAUDOUIN","DANIEL","Peasant","Common","Human","9","Male","DANIEL [615]","","","","","","","","","","","","","9","",""
"1051","GYDA","BLANC","Peasant","Rare","Gnome","17","Female","BLANC [616]","","Unusual hair color","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Expert juggler","Uses flowery speech or long words","Quiet","Beauty or Domination","Honor or Freedom","Balance or Aspiration","Protective of a sentimental keepsake","Shameful or scandalous history","37","",""
"1052","IANTO","HOLGERSEN","Peasant","Common","Human","3","Male","HOLGERSEN [245]","","","","","","","","","","","","","3","",""
"1053","NIAMH","LANGLAIS","Peasant","Common","Human","8","Female","LANGLAIS [617]","","","","","","","","","","","","","8","",""
"1054","JASON","COUSINEAU","Peasant","Common","Human","15","Male","COUSINEAU [618]","","Unusual hair color","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Sings beautifully","Fidgets","Suspicious","Life or Pain","Responsibility or No limits","Moderation or Nation","Protective of a sentimental keepsake","Specific phobia","15","",""
"1055","GALYA","MCDONALD","Peasant","Common","Human","42","Female","MCDONALD [283]","DESMOND MCDONALD","Tattoos","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Speaks several languages fluently","Chews something","Curious","Life or Pain","Responsibility or No limits","Neutrality or Redemption","Dedicated to fulfilling a personal life goal and Protective of close family members","Shameful or scandalous history","42","",""
"1056","CLEENA","MCKENNA","Peasant","Common","Human","34","Female","MCKENNA [284]","YAROSLAV MCKENNA","Ragged, dirty clothes","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Knows thieves’ cant","Paces","Friendly","Beauty or Domination","Tradition or Whimsy","Balance or Aspiration","Out for revenge and Protective of a valuable possession","Has a powerful enemy","34","",""
"1057","KIMI","ROTH","Peasant","Common","Human","16","Male","ROTH [619]","","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Paints beautifully","Bites fingernails","Curious","Charity or Greed","Fairness or Creativity","Balance or Aspiration","Out for revenge","Specific phobia","16","",""
"1058","EUDES","PARRY","Peasant","Common","Human","36","Male","PARRY [266]","APRIL PARRY","Unusual skin color","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Expert dart thrower and rock skipper","Speaks in rhyme or some other peculiar way","Ponderous","Life or Pain","Responsibility or No limits","Neutrality or Redemption","Captivated by a romantic interest","Prone to rage","36","",""
"1059","ANASTASIO","STAWSKI","Peasant","Uncommon","Half-Elf","10","Male","STAWSKI [620]","","","","","","","","","","","","","11","",""
"1060","ALWIN","ADAMS","Peasant","Uncommon","Dwarf","7","Male","ADAMS [621]","","","","","","","","","","","","","19","",""
"1061","COLOMBA","POIRIER","Peasant","Common","Human","13","Female","POIRIER [622]","","Distinctive posture (crooked or rigid)","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Draws beautifully","Speaks loudly","Curious","Respect or Retribution","Fairness or Creativity","Live and let live or Glory","Protective of a valuable possession","Forbidden love or susceptibility to romance","13","",""
"1062","GUNVOR","RANDRUP","Peasant","Common","Human","17","Female","RANDRUP [623]","","Distinctive jewelry: earrings, necklace, circlet, bracelets","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Plays a musical instrument","Whispers","Rude","Respect or Retribution","Logic or Independence","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Forbidden love or susceptibility to romance","17","",""
"1063","DILYS","AXELSEN","Peasant","Common","Human","40","Female","AXELSEN [285]","FILIP AXELSEN","Formal, clean clothes","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Great with children","Taps fingers","Honest","Greater good or Might","Fairness or Creativity","People or Self-knowledge","Protective of a sentimental keepsake","Specific phobia","40","",""
"1064","LAVRENTIY","BAGER","Peasant","Common","Human","35","Male","BAGER [274]","COLOMBINA BAGER","Missing fingers","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Knows thieves’ cant","Chews something","Curious","Greater good or Might","Responsibility or No limits","Neutrality or Redemption","Loyal to a benefactor, patron, or employer and Protective of colleagues or compatriots","Arrogance","35","",""
"1065","BIDDY","KENDRICK","Peasant","Common","Human","22","Female","KENDRICK [286]","JAMES KENDRICK","Distinctive jewelry: earrings, necklace, circlet, bracelets","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Skilled dancer","Particularly low or high voice","Arrogant","Life or Pain","Honor or Freedom","Balance or Aspiration","Protective of a sentimental keepsake","Shameful or scandalous history","22","",""
"1066","CIPRIANO","MAS","Peasant","Uncommon","Half-Elf","19","Male","MAS [287]","","Unusual skin color","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great at one game","Stares into the distance","Curious","Charity or Greed","Community or Change","People or Self-knowledge","Protective of close family members","Envies another creature’s possessions or station","21","",""
"1067","PAAVO","CHARBONNEAU","Peasant","Uncommon","Dwarf","43","Male","CHARBONNEAU [262]","CERISE CHARBONNEAU","Exceptionally ugly","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Perfect memory","Speaks loudly","Friendly","Greater good or Might","Honor or Freedom","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Has a powerful enemy","119","",""
"1068","CELSO","THAYER","Peasant","Uncommon","Dwarf","19","Male","THAYER [261]","KATJA THAYER","Unusual hair color","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Great at one game","Chews something","Argumentative","Life or Pain","Fairness or Creativity","Neutrality or Redemption","Protective of close family members","Arrogance","52","",""
"1069","AGNAR","BOUCHARD","Peasant","Uncommon","Half-Elf","2","Male","BOUCHARD [221]","","","","","","","","","","","","","2","",""
"1070","MEINIR","MCCABE","Peasant","Common","Human","12","Female","MCCABE [624]","","Piercings","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Expert cook","Frequently uses the wrong word","Ponderous","Respect or Retribution","Responsibility or No limits","People or Self-knowledge","Protective of a sentimental keepsake","Foolhardy bravery","12","",""
"1071","MICHAEL","CHRISTIANSEN","Peasant","Common","Human","13","Male","CHRISTIANSEN [625]","","Distinctive nose","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Expert juggler","Fidgets","Honest","Life or Pain","Honor or Freedom","Moderation or Nation","Protective of a sentimental keepsake and Protective of a valuable possession","Specific phobia","13","",""
"1072","RHIANON","PAGE","Peasant","Uncommon","Dwarf","16","Female","PAGE [626]","","Flamboyant or outlandish clothes","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Draws beautifully","Prone to singing, whistling, or humming quietly","Friendly","Respect or Retribution","Tradition or Whimsy","Neutrality or Redemption","Protective of a sentimental keepsake","Has a powerful enemy","44","",""
"1073","ARWEL","OWEN","Peasant","Common","Human","4","Male","OWEN [627]","","","","","","","","","","","","","4","",""
"1074","ALEXEI","JOKUMSEN","Peasant","Uncommon","Half-Elf","30","Male","JOKUMSEN [281]","BIRTHE JOKUMSEN","Unusual eye color (or two different colors)","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Expert cook","Whispers","Hot tempered","Respect or Retribution","Logic or Independence","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Has a powerful enemy","33","",""
"1075","AGATINO","LANGE","Peasant","Common","Human","14","Male","LANGE [628]","","Tattoos","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Knows thieves’ cant","Paces","Ponderous","Self-sacrifice or Slaughter","Community or Change","Neutrality or Redemption","Drawn to a special place and Protective of a sentimental keepsake","Envies another creature’s possessions or station","14","",""
"1076","ALLYSON","SOKOLOV","Peasant","Uncommon","Dwarf","17","Female","SOKOLOV [629]","","Braided beard or hair","Constitution - hardy, hale, healthy","Charisma - dull, boring","Sings beautifully","Enunciates overly clearly","Quiet","Self-sacrifice or Slaughter","Responsibility or No limits","Live and let live or Glory","Protective of a valuable possession","Shameful or scandalous history","47","",""
"1077","CLOTILDE","ABEL","Peasant","Common","Human","17","Female","ABEL [630]","","Bald","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Skilled dancer","Uses colorful oaths and exclamations","Quiet","Life or Pain","Logic or Independence","Balance or Aspiration","Dedicated to fulfilling a personal life goal","Has a powerful enemy","17","",""
"1078","VASKA","BLACKWOOD","Peasant","Uncommon","Dwarf","23","Male","BLACKWOOD [271]","EDITH BLACKWOOD","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great with children","Stares into the distance","Arrogant","Greater good or Might","Responsibility or No limits","Neutrality or Redemption","Protective of close family members","Has a powerful enemy","63","",""
"1079","AGATINO","DUNCAN","Peasant","Uncommon","Dwarf","18","Male","DUNCAN [288]","ELAINE DUNCAN","Missing fingers","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Draws beautifully","Uses flowery speech or long words","Friendly","Respect or Retribution","Fairness or Creativity","People or Self-knowledge","Out for revenge","Foolhardy bravery","50","",""
"1080","CHARLOTTE","MCCRORY","Peasant","Rare","Gnome","35","Female","MCCRORY [289]","","Braided beard or hair","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Skilled dancer","Whispers","Rude","Charity or Greed","Logic or Independence","Balance or Aspiration","Captivated by a romantic interest","Forbidden love or susceptibility to romance","77","",""
"1081","AERONWY","SVENDSEN","Peasant","Common","Human","2","Female","SVENDSEN [242]","","","","","","","","","","","","","2","",""
"1082","ANTONIE","POULIN","Peasant","Common","Human","33","Male","POULIN [282]","GWENITH POULIN","Missing fingers","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Great with animals","Fidgets","Blustering","Greater good or Might","Logic or Independence","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Envies another creature’s possessions or station","33","",""
"1083","CALIXTE","MCNEAL","Peasant","Rare","Gnome","9","Male","MCNEAL [631]","","","","","","","","","","","","","20","",""
"1084","DEMID","FALCONER","Peasant","Uncommon","Dwarf","11","Male","FALCONER [632]","","","","","","","","","","","","","30","",""
"1085","YAROSLAV","MCKENNA","Peasant","Common","Human","27","Male","MCKENNA [284]","CLEENA MCKENNA","Tattoos","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Skilled dancer","Speaks loudly","Blustering","Self-sacrifice or Slaughter","Logic or Independence","Moderation or Nation","Loyal to a benefactor, patron, or employer","Shameful or scandalous history","27","",""
"1086","OLWEN","LYON","Peasant","Common","Human","15","Female","LYON [633]","","Nervous eye twitch","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Great at impersonations","Uses colorful oaths and exclamations","Hot tempered","Charity or Greed","Honor or Freedom","People or Self-knowledge","Protective of colleagues or compatriots","Overpowering greed","15","",""
"1087","NIA","GREER","Peasant","Common","Human","31","Female","GREER [290]","DANI GREER","Exceptionally ugly","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Sings beautifully","Paces","Argumentative","Respect or Retribution","Tradition or Whimsy","People or Self-knowledge","Protective of a valuable possession and Protective of a valuable possession","Forbidden love or susceptibility to romance","31","",""
"1088","GWAWR","WEGNER","Peasant","Common","Human","6","Female","WEGNER [634]","","","","","","","","","","","","","6","",""
"1089","ANNUNZIATA","DANIEL","Peasant","Common","Human","5","Female","DANIEL [635]","","","","","","","","","","","","","5","",""
"1090","PHILOMENA","PATENAUDE","Peasant","Uncommon","Dwarf","2","Female","PATENAUDE [251]","","","","","","","","","","","","","5","",""
"1091","KRISTIINA","NIEMEC","Peasant","Common","Human","7","Female","NIEMEC [636]","","","","","","","","","","","","","7","",""
"1092","JOEL","STEFANSEN","Peasant","Common","Human","41","Male","STEFANSEN [267]","ANGELIA STEFANSEN","Exceptionally ugly","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Expert cook","Frequently uses the wrong word","Quiet","Beauty or Domination","Honor or Freedom","Moderation or Nation","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","41","",""
"1093","ELISABET","MICHEL","Peasant","Uncommon","Dwarf","30","Female","MICHEL [291]","ARCHER MICHEL","Distinctive jewelry: earrings, necklace, circlet, bracelets","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great at solving puzzles","Speaks in rhyme or some other peculiar way","Honest","Life or Pain","Community or Change","Knowledge or Discovery","Drawn to a special place and Protective of a valuable possession","Shameful or scandalous history","83","",""
"1094","CHRISTINA","HENRIKSEN","Peasant","Common","Human","8","Female","HENRIKSEN [637]","","","","","","","","","","","","","8","",""
"1095","JAMES","KENDRICK","Peasant","Common","Human","20","Male","KENDRICK [286]","BIDDY KENDRICK","Missing teeth","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great at impersonations","Stares into the distance","Blustering","Charity or Greed","Honor or Freedom","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","20","",""
"1096","EWOUD","BERTRAND","Peasant","Uncommon","Half-Elf","19","Male","BERTRAND [292]","","Pronounced scar","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Expert cook","Stares into the distance","Suspicious","Life or Pain","Community or Change","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","21","",""
"1097","DESMOND","MCDONALD","Peasant","Common","Human","48","Male","MCDONALD [283]","GALYA MCDONALD","Braided beard or hair","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Plays a musical instrument","Chews something","Arrogant","Beauty or Domination","Honor or Freedom","Knowledge or Discovery","Out for revenge","Forbidden love or susceptibility to romance","48","",""
"1098","DEON","MAREK","Peasant","Uncommon","Dwarf","28","Male","MAREK [275]","JANNE MAREK","Distinctive jewelry: earrings, necklace, circlet, bracelets","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Skilled actor and master of disguise","Prone to singing, whistling, or humming quietly","Quiet","Charity or Greed","Logic or Independence","Balance or Aspiration","Protective of colleagues or compatriots and Loyal to a benefactor, patron, or employer","Enjoys decadent pleasures","77","",""
"1099","DAMIAAN","AUGUSTIN","Peasant","Uncommon","Half-Elf","30","Male","AUGUSTIN [293]","JEAN AUGUSTIN","Ragged, dirty clothes","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Great at impersonations","Frequently uses the wrong word","Blustering","Beauty or Domination","Responsibility or No limits","Knowledge or Discovery","Captivated by a romantic interest","Forbidden love or susceptibility to romance","33","",""
"1100","NAZARIY","BLACKWOOD","Peasant","Uncommon","Dwarf","13","Male","BLACKWOOD [638]","","Unusual eye color (or two different colors)","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Perfect memory","Prone to predictions of doom","Quiet","Life or Pain","Logic or Independence","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","36","",""
"1101","DANI","GREER","Peasant","Common","Human","25","Male","GREER [290]","NIA GREER","Nervous eye twitch","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Great with children","Speaks loudly","Honest","Greater good or Might","Fairness or Creativity","Neutrality or Redemption","Out for revenge","Envies another creature’s possessions or station","25","",""
"1102","MARIA","MACDANIEL","Peasant","Uncommon","Half-Elf","6","Male","MACDANIEL [639]","","","","","","","","","","","","","6","",""
"1103","BERNARDETTA","PIONTEK","Peasant","Common","Human","38","Female","PIONTEK [294]","AKU PIONTEK","Distinctive posture (crooked or rigid)","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Great with children","Whispers","Friendly","Greater good or Might","Tradition or Whimsy","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","38","",""
"1104","HENRYK","BODILSEN","Peasant","Uncommon","Half-Elf","12","Male","BODILSEN [640]","","Exceptionally beautiful","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Expert juggler","Whispers","Ponderous","Life or Pain","Fairness or Creativity","Live and let live or Glory","Out for revenge","Forbidden love or susceptibility to romance","13","",""
"1105","JOHANNA","IBSEN","Peasant","Common","Human","16","Female","IBSEN [641]","","Ragged, dirty clothes","Constitution - hardy, hale, healthy","Charisma - dull, boring","Paints beautifully","Speaks in rhyme or some other peculiar way","Irritable","Beauty or Domination","Community or Change","Moderation or Nation","Protective of a valuable possession","Overpowering greed","16","",""
"1106","DANIELA","KONSTANTINOV","Peasant","Common","Human","21","Female","KONSTANTINOV [295]","CIPRIANO KONSTANTINOV","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Great at impersonations","Paces","Rude","Life or Pain","Tradition or Whimsy","Live and let live or Glory","Protective of a valuable possession","Shameful or scandalous history","21","",""
"1107","CIPRIANO","KONSTANTINOV","Peasant","Common","Human","21","Male","KONSTANTINOV [295]","DANIELA KONSTANTINOV","Distinctive jewelry: earrings, necklace, circlet, bracelets","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Great at solving puzzles","Bites fingernails","Friendly","Beauty or Domination","Tradition or Whimsy","Moderation or Nation","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","21","",""
"1108","HERBERT","BARTOSZ","Peasant","Common","Human","21","Male","BARTOSZ [296]","ELAIN BARTOSZ","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Great with children","Fidgets","Arrogant","Charity or Greed","Community or Change","Live and let live or Glory","Protective of a sentimental keepsake","Shameful or scandalous history","21","",""
"1109","MALLE","ARNESEN","Peasant","Uncommon","Dwarf","7","Female","ARNESEN [642]","","","","","","","","","","","","","19","",""
"1110","LEO","MONTAGNE","Peasant","Rare","Gnome","5","Male","MONTAGNE [643]","","","","","","","","","","","","","11","",""
"1111","KIRSTIE","MACANGUS","Peasant","Uncommon","Half-Elf","14","Female","MACANGUS [644]","","Pronounced scar","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert cook","Frequently uses the wrong word","Rude","Greater good or Might","Community or Change","People or Self-knowledge","Protective of a sentimental keepsake","Enjoys decadent pleasures","15","",""
"1112","GYDA","AMUNDSEN","Peasant","Uncommon","Dwarf","13","Female","AMUNDSEN [645]","","Unusual eye color (or two different colors)","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Great at solving puzzles","Fidgets","Honest","Self-sacrifice or Slaughter","Fairness or Creativity","Knowledge or Discovery","Out for revenge","Arrogance","36","",""
"1113","COKKIE","BERG","Peasant","Common","Human","11","Female","BERG [646]","","","","","","","","","","","","","11","",""
"1114","MISHA","JOHANSEN","Peasant","Common","Human","19","Male","JOHANSEN [297]","NADEJDA JOHANSEN","Birthmark","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great at impersonations","Uses colorful oaths and exclamations","Arrogant","Self-sacrifice or Slaughter","Community or Change","Moderation or Nation","Protective of close family members","Shameful or scandalous history","19","",""
"1115","VITALIYA","DAVIES","Peasant","Common","Human","15","Female","DAVIES [647]","","Ragged, dirty clothes","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Drinks everyone under the table","Whispers","Quiet","Self-sacrifice or Slaughter","Responsibility or No limits","Knowledge or Discovery","Drawn to a special place and Protective of colleagues or compatriots","Has a powerful enemy","15","",""
"1116","BIDDY","PETTERSEN","Peasant","Common","Human","6","Female","PETTERSEN [648]","","","","","","","","","","","","","6","",""
"1117","BOZHENA","BREINER","Peasant","Common","Human","4","Female","BREINER [649]","","","","","","","","","","","","","4","",""
"1118","ELAINE","DUNCAN","Peasant","Uncommon","Dwarf","18","Female","DUNCAN [288]","AGATINO DUNCAN","Unusual skin color","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert carpenter","Bites fingernails","Blustering","Greater good or Might","Fairness or Creativity","Neutrality or Redemption","Captivated by a romantic interest","Envies another creature’s possessions or station","50","",""
"1119","AVKSENTIY","THOMAS","Peasant","Common","Human","19","Male","THOMAS [298]","","Piercings","Constitution - hardy, hale, healthy","Charisma - dull, boring","Skilled actor and master of disguise","Chews something","Friendly","Beauty or Domination","Logic or Independence","Live and let live or Glory","Protective of a valuable possession","Prone to rage","19","",""
"1120","FILIP","AXELSEN","Peasant","Common","Human","33","Male","AXELSEN [285]","DILYS AXELSEN","Missing teeth","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great with children","Slurs words, lisps, or stutters","Argumentative","Self-sacrifice or Slaughter","Community or Change","Knowledge or Discovery","Protective of a valuable possession","Specific phobia","33","",""
"1121","GRAHAME","BLACKWOOD","Peasant","Common","Human","12","Male","BLACKWOOD [650]","","Braided beard or hair","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Skilled actor and master of disguise","Whispers","Friendly","Beauty or Domination","Tradition or Whimsy","Moderation or Nation","Dedicated to fulfilling a personal life goal","Arrogance","12","",""
"1122","MILITSA","KAUFFMANN","Peasant","Common","Human","39","Female","KAUFFMANN [299]","JOCK KAUFFMANN","Missing teeth","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Skilled dancer","Squints","Suspicious","Self-sacrifice or Slaughter","Community or Change","Balance or Aspiration","Protective of close family members","Forbidden love or susceptibility to romance","39","",""
"1123","GUNNHILD","GIRARD","Peasant","Common","Human","1","Female","GIRARD [185]","","","","","","","","","","","","","1","",""
"1124","AKU","PIONTEK","Peasant","Common","Human","29","Male","PIONTEK [294]","BERNARDETTA PIONTEK","Missing teeth","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Plays a musical instrument","Speaks in rhyme or some other peculiar way","Honest","Self-sacrifice or Slaughter","Tradition or Whimsy","Moderation or Nation","Protective of colleagues or compatriots","Arrogance","29","",""
"1125","SAMUIL","MICHEL","Peasant","Uncommon","Half-Elf","6","Male","MICHEL [651]","","","","","","","","","","","","","6","",""
"1126","MACK","DUMONT","Peasant","Uncommon","Half-Elf","13","Male","DUMONT [652]","","Unusual hair color","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Unbelievably lucky","Fidgets","Quiet","Respect or Retribution","Honor or Freedom","Knowledge or Discovery","Drawn to a special place","Specific phobia","14","",""
"1127","ARCHER","MICHEL","Peasant","Uncommon","Dwarf","21","Male","MICHEL [291]","ELISABET MICHEL","Birthmark","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Knows thieves’ cant","Prone to predictions of doom","Honest","Charity or Greed","Community or Change","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Overpowering greed","58","",""
"1128","INGEBORG","KONSTANTINOV","Peasant","Common","Human","3","Female","KONSTANTINOV [295]","","","","","","","","","","","","","3","",""
"1129","HELGA","MACASLAN","Peasant","Common","Human","38","Female","MACASLAN [300]","MARLEN MACASLAN","Braided beard or hair","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Great at one game","Squints","Ponderous","Self-sacrifice or Slaughter","Honor or Freedom","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Arrogance","38","",""
"1130","ELAIN","BARTOSZ","Peasant","Common","Human","24","Female","BARTOSZ [296]","HERBERT BARTOSZ","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great with children","Frequently uses the wrong word","Curious","Charity or Greed","Fairness or Creativity","Moderation or Nation","Protective of a sentimental keepsake","Shameful or scandalous history","24","",""
"1131","MARLEN","MACASLAN","Peasant","Uncommon","Dwarf","37","Male","MACASLAN [300]","HELGA MACASLAN","Pronounced scar","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Sings beautifully","Uses colorful oaths and exclamations","Ponderous","Charity or Greed","Logic or Independence","Balance or Aspiration","Protective of a valuable possession","Secret crime or misdeed","102","",""
"1132","FORBES","GLENN","Peasant","Common","Human","2","Male","GLENN [243]","","","","","","","","","","","","","2","",""
"1133","EMILIE","MCKINLEY","Peasant","Common","Human","14","Female","MCKINLEY [653]","","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Skilled actor and master of disguise","Enunciates overly clearly","Argumentative","Respect or Retribution","Logic or Independence","Balance or Aspiration","Dedicated to fulfilling a personal life goal and Protective of a valuable possession","Arrogance","14","",""
"1134","ISAAK","ROSA","Peasant","Common","Human","27","Male","ROSA [301]","","Tattoos","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Great with children","Chews something","Quiet","Self-sacrifice or Slaughter","Honor or Freedom","Live and let live or Glory","Captivated by a romantic interest","Secret crime or misdeed","27","",""
